Step Number	Objective	Action	Code/Command	Notes
3.1	Configure next-auth	Set up authentication provider.	echo 'import NextAuth from "next-auth"; import CredentialsProvider from "next-auth/providers/credentials"; import bcrypt from "bcrypt"; import db from "../../../lib/db"; export default NextAuth({ providers: [ CredentialsProvider({ name: "Credentials", credentials: { username: { label: "Username", type: "text" }, password: { label: "Password", type: "password" } }, async authorize(credentials) { if (!credentials?.username || !credentials?.password) return null; const user = db.prepare("SELECT * FROM users WHERE username = ?").get(credentials.username); if (user && await bcrypt.compare(credentials.password, user.password)) { return { id: user.id, username: user.username, role: user.role, property: user.property }; } return null; } }) ], callbacks: { async session({ session, token }) { if (token) { session.user.id = token.id as string; session.user.role = token.role as string; session.user.property = token.property as string; } return session; }, async jwt({ token, user }) { if (user) { token.id = user.id; token.role = user.role; token.property = user.property; } return token; } }, secret: process.env.NEXTAUTH_SECRET });' > pages/api/auth/[...nextauth].ts	Uses credentials for simplicity.
3.2	Set Environment Variables	Add next-auth secret.	echo 'NEXTAUTH_SECRET=your-secret-here' >> .env	Generate secret with `openssl rand -base64 32`.
3.3	Seed Users	Add initial users.	echo 'import bcrypt from "bcrypt"; import { v4 as uuidv4 } from "uuid"; import db from "./db"; export async function seedUsers() { const users = [ { id: uuidv4(), username: "admin", password: "admin123", role: "admin", property: null }, { id: uuidv4(), username: "p1_manager", password: "p1pass", role: "manager", property: "P1" }, { id: uuidv4(), username: "p2_manager", password: "p2pass", role: "manager", property: "P2" }, { id: uuidv4(), username: "helper1", password: "help1pass", role: "helper", property: null } ]; const stmt = db.prepare("INSERT OR IGNORE INTO users (id, username, password, role, property) VALUES (?, ?, ?, ?, ?)"); for (const user of users) { const hashedPassword = await bcrypt.hash(user.password, 10); stmt.run(user.id, user.username, hashedPassword, user.role, user.property); } }' >> lib/seed.ts	Admin, P1/P2 managers, one helper.
3.4	Protect Routes	Create auth helper.	echo 'import { getServerSession } from "next-auth"; import { NextApiRequest, NextApiResponse } from "next"; export async function getSession(req: NextApiRequest, res: NextApiResponse) { const session = await getServerSession(req, res, {}); return session; }' > lib/auth.ts	Secures API routes.
3.5	Example Protected API	Create rooms API.	echo 'import type { NextApiRequest, NextApiResponse } from "next"; import { getSession } from "../../lib/auth"; import db from "../../lib/db"; export default async function handler(req: NextApiRequest, res: NextApiResponse) { const session = await getSession(req, res); if (!session) return res.status(401).json({ error: "Unauthorized" }); if (session.user.role === "admin") { const rooms = db.prepare("SELECT * FROM rooms").all(); return res.status(200).json(rooms); } if (session.user.role === "manager") { const rooms = db.prepare("SELECT * FROM rooms WHERE property = ?").all(session.user.property); return res.status(200).json(rooms); } return res.status(403).json({ error: "Forbidden" }); }' > pages/api/rooms.ts	Admin sees all rooms; managers see their property.
4.1	Bookings API	Create bookings endpoint.	echo 'import type { NextApiRequest, NextApiResponse } from "next"; import { getSession } from "../../lib/auth"; import db from "../../lib/db"; import { v4 as uuidv4 } from "uuid"; export default async function handler(req: NextApiRequest, res: NextApiResponse) { const session = await getSession(req, res); if (!session || (session.user.role !== "admin" && session.user.role !== "manager")) { return res.status(403).json({ error: "Forbidden" }); } if (req.method === "POST") { const { roomId, guestId, plan, startDate, endDate } = req.body; const start = new Date(startDate); const end = new Date(endDate); const days = (end.getTime() - start.getTime()) / (1000 * 3600 * 24); if (days < 30 && plan !== "month") { return res.status(400).json({ error: "Bookings must be 30+ days per Honolulu Bill 41" }); } const id = uuidv4(); db.prepare("INSERT INTO bookings (id, roomId, guestId, plan, startDate, endDate, paymentStatus) VALUES (?, ?, ?, ?, ?, ?, ?)").run(id, roomId, guestId, plan, startDate, endDate, "pending"); return res.status(201).json({ id }); } }' > pages/api/bookings.ts	Enforces 30+ day stays.
4.2	Payments API	Create payments endpoint.	echo 'import type { NextApiRequest, NextApiResponse } from "next"; import { getSession } from "../../lib/auth"; import db from "../../lib/db"; import { v4 as uuidv4 } from "uuid"; export default async function handler(req: NextApiRequest, res: NextApiResponse) { const session = await getSession(req, res); if (!session || (session.user.role !== "admin" && session.user.role !== "manager")) { return res.status(403).json({ error: "Forbidden" }); } if (req.method === "POST") { const { bookingId, amount, method, dateReceived, transactionId, notes } = req.body; const id = uuidv4(); db.prepare("INSERT INTO payments (id, bookingId, amount, method, dateReceived, transactionId, notes) VALUES (?, ?, ?, ?, ?, ?, ?)").run(id, bookingId, amount, method, dateReceived, transactionId, notes); db.prepare("UPDATE bookings SET paymentStatus = ? WHERE id = ?").run("paid", bookingId); return res.status(201).json({ id }); } }' > pages/api/payments.ts	Links payments to bookings.
4.3	Door Codes API	Create codes endpoint.	echo 'import type { NextApiRequest, NextApiResponse } from "next"; import { getSession } from "../../lib/auth"; import db from "../../lib/db"; import crypto from "crypto"; export default async function handler(req: NextApiRequest, res: NextApiResponse) { const session = await getSession(req, res); if (!session || (session.user.role !== "admin" && session.user.role !== "manager")) { return res.status(403).json({ error: "Forbidden" }); } if (req.method === "POST") { const { roomId, bookingId, duration } = req.body; const booking = db.prepare("SELECT * FROM bookings WHERE id = ? AND paymentStatus = ?").get(bookingId, "paid"); const room = db.prepare("SELECT * FROM rooms WHERE id = ? AND cleaningStatus = ? AND linenStatus = ?").get(roomId, "clean", "fresh"); if (!booking || !room) { return res.status(400).json({ error: "Payment or cleaning incomplete" }); } const code = crypto.randomInt(1000, 9999).toString(); const frontDoorCode = room.property === "P1" ? crypto.randomInt(1000, 9999).toString() : crypto.randomInt(1000, 9999).toString(); const expiry = new Date(); if (duration === "day") expiry.setDate(expiry.getDate() + 2); else if (duration === "week") expiry.setDate(expiry.getDate() + 10); else expiry.setDate(expiry.getDate() + 35); db.prepare("UPDATE rooms SET code = ?, frontDoorCode = ?, codeExpiry = ? WHERE id = ?").run(code, frontDoorCode, expiry.toISOString(), roomId); db.prepare("UPDATE bookings SET code = ?, frontDoorCode = ? WHERE id = ?").run(code, frontDoorCode, bookingId); return res.status(200).json({ code, frontDoorCode, expiry }); } }' > pages/api/codes.ts	Generates room and front door codes.
4.4	Cleaning API	Create cleaning endpoint.	echo 'import type { NextApiRequest, NextApiResponse } from "next"; import { getSession } from "../../lib/auth"; import db from "../../lib/db"; import { v4 as uuidv4 } from "uuid"; export default async function handler(req: NextApiRequest, res: NextApiResponse) { const session = await getSession(req, res); if (!session) return res.status(403).json({ error: "Forbidden" }); if (req.method === "POST") { const { roomId, type, date, cleaner, status } = req.body; const id = uuidv4(); db.prepare("INSERT INTO cleaning (id, roomId, type, date, cleaner, status) VALUES (?, ?, ?, ?, ?, ?)").run(id, roomId, type, date, cleaner, status); if (type === "room") { db.prepare("UPDATE rooms SET cleaningStatus = ?, linenStatus = ? WHERE id = ?").run("clean", "fresh", roomId); } return res.status(201).json({ id }); } }' > pages/api/cleaning.ts	Handles room and common area cleaning.
4.5	Reporting API	Create reports endpoint.	echo 'import type { NextApiRequest, NextApiResponse } from "next"; import { getSession } from "../../lib/auth"; import db from "../../lib/db"; export default async function handler(req: NextApiRequest, res: NextApiResponse) { const session = await getSession(req, res); if (!session || session.user.role !== "admin") { return res.status(403).json({ error: "Forbidden" }); } if (req.method === "GET") { const lowSupplies = db.prepare("SELECT * FROM inventory WHERE quantity <= threshold").all(); const repairs = db.prepare("SELECT * FROM maintenance WHERE status = ?").all("open"); return res.status(200).json({ lowSupplies, repairs }); } }' > pages/api/reports.ts	Admin-only low supplies and repairs.
5.1	Inquiry Form	Create membership page.	echo 'import { useState } from "react"; import { useRouter } from "next/router"; export default function Membership() { const [form, setForm] = useState({ name: "", contact: "", referral: "", plan: "month" }); const router = useRouter(); const handleSubmit = async (e: React.FormEvent) => { e.preventDefault(); const res = await fetch("/api/inquiries", { method: "POST", headers: { "Content-Type": "application/json" }, body: JSON.stringify(form) }); if (res.ok) { const { trackerLink } = await res.json(); router.push(trackerLink); } }; return ( <div> <h1>Honolulu Private Residency Club</h1> <form onSubmit={handleSubmit}> <input type="text" value={form.name} onChange={e => setForm({ ...form, name: e.target.value })} placeholder="Name" required /> <input type="text" value={form.contact} onChange={e => setForm({ ...form, contact: e.target.value })} placeholder="Contact" required /> <input type="text" value={form.referral} onChange={e => setForm({ ...form, referral: e.target.value })} placeholder="Referral Source" required /> <select value={form.plan} onChange={e => setForm({ ...form, plan: e.target.value })}> <option value="month">Monthly ($2000/$1200)</option> <option value="week">Weekly ($500/$300)</option> <option value="day">Daily ($100/$60)</option> </select> <button type="submit">Apply</button> </form> </div> ); }' > pages/membership.tsx	Public page for inquiries.
5.2	Inquiries API	Create inquiries endpoint.	echo 'import type { NextApiRequest, NextApiResponse } from "next"; import db from "../../lib/db"; import { v4 as uuidv4 } from "uuid"; export default async function handler(req: NextApiRequest, res: NextApiResponse) { if (req.method === "POST") { const { name, contact, referral, plan } = req.body; const id = uuidv4(); const trackerLink = `/tracker/${id}`; const expiry = new Date(); expiry.setDate(expiry.getDate() + 7); db.prepare("INSERT INTO inquiries (id, name, contact, referralSource, plan, status, trackerLink, linkExpiry) VALUES (?, ?, ?, ?, ?, ?, ?, ?)").run(id, name, contact, referral, plan, "received", trackerLink, expiry.toISOString()); return res.status(201).json({ trackerLink }); } }' > pages/api/inquiries.ts	Generates temporary tracker link.
5.3	Tracker Page	Create tracker page.	echo 'import { GetServerSideProps } from "next"; import db from "../../lib/db"; type TrackerProps = { status: string; code?: string; frontDoorCode?: string; }; export default function Tracker({ status, code, frontDoorCode }: TrackerProps) { const steps = [ { name: "Request Received", completed: status !== "received" }, { name: "Payment Confirmed", completed: status === "paid" || status === "confirmed" }, { name: "Booking Confirmed", completed: status === "confirmed" } ]; return ( <div> <h1>Membership Status</h1> <div style={{ display: "flex", justifyContent: "space-between" }}> {steps.map((step, i) => ( <div key={i} style={{ color: step.completed ? "green" : "gray" }}> {step.name} </div> ))} </div> {status === "confirmed" && ( <div> <p>Room Code: {code}</p> <p>Front Door Code: {frontDoorCode}</p> </div> )} </div> ); } export const getServerSideProps: GetServerSideProps = async ({ params }) => { const inquiry = db.prepare("SELECT * FROM inquiries WHERE id = ?").get(params?.id); if (!inquiry || new Date(inquiry.linkExpiry) < new Date()) { return { notFound: true }; } if (inquiry.status === "confirmed") { const booking = db.prepare("SELECT * FROM bookings WHERE guestId = (SELECT id FROM guests WHERE contact = ?)").get(inquiry.contact); return { props: { status: inquiry.status, code: booking?.code, frontDoorCode: booking?.frontDoorCode } }; } return { props: { status: inquiry.status } }; };' > pages/tracker/[id].tsx	Shows request status and codes.
6.1	Install Twilio	Install Twilio for SMS.	npm install twilio @types/twilio	Adds secure code delivery.
6.2	Configure Twilio	Add Twilio credentials to .env.	echo 'TWILIO_ACCOUNT_SID=your-sid\nTWILIO_AUTH_TOKEN=your-token\nTWILIO_PHONE_NUMBER=your-number' >> .env	Get credentials from Twilio dashboard.
6.3	Send SMS	Create SMS utility.	echo 'import Twilio from "twilio"; const client = Twilio(process.env.TWILIO_ACCOUNT_SID, process.env.TWILIO_AUTH_TOKEN); export async function sendSMS(to: string, body: string) { await client.messages.create({ body, from: process.env.TWILIO_PHONE_NUMBER, to }); }' > lib/sms.ts	Sends codes to guests.
6.4	Integrate SMS	Call sendSMS in codes API.	Add to pages/api/codes.ts: `import { sendSMS } from "../../lib/sms"; ... await sendSMS(booking.guestContact, `Your room code is ${code}, front door code is ${frontDoorCode}, expires ${expiry}`);`	Delivers codes after generation.
7.1	Dashboard Page	Create CRM dashboard.	echo 'import { useSession } from "next-auth/react"; import { useEffect, useState } from "react"; export default function Dashboard() { const { data: session } = useSession(); const [rooms, setRooms] = useState([]); useEffect(() => { if (session) { fetch("/api/rooms").then(res => res.json()).then(setRooms); } }, [session]); if (!session) return <div>Please log in</div>; return ( <div> <h1>STR Dashboard</h1> <table> <thead><tr><th>Room</th><th>Code</th><th>Payment</th><th>Cleaning</th><th>Linen</th></tr></thead> <tbody> {rooms.map(room => ( <tr key={room.id}> <td>{room.id}</td> <td>{room.code}</td> <td>{room.paymentStatus}</td> <td>{room.cleaningStatus}</td> <td>{room.linenStatus}</td> </tr> ))} </tbody> </table> </div> ); }' > pages/dashboard.tsx	Shows room status (admin: all; managers: their property).
7.2	Add CSS	Add basic styling.	echo 'body { font-family: Arial; } table { border-collapse: collapse; width: 100%; } th, td { border: 1px solid #ddd; padding: 8px; text-align: left; } th { background-color: #f2f2f2; }' > styles/globals.css	Improves UI readability.
8	Deploy to Replit	Ensure app runs and is hosted.	Click Replit’s “Run” button.	Replit hosts at a public URL. Free tier limits storage to 500 MB.
